region_num,region,hemi,network_num_17,Network_17,network_num_7,Network_7
1,17Networks_LH_VisCent_ExStr_1,left,1,VisCent,,
2,17Networks_LH_VisCent_ExStr_2,left,1,VisCent,,
3,17Networks_LH_VisCent_Striate_1,left,1,VisCent,,
4,17Networks_LH_VisCent_ExStr_3,left,1,VisCent,,
5,17Networks_LH_VisCent_ExStr_4,left,1,VisCent,,
6,17Networks_LH_VisCent_ExStr_5,left,1,VisCent,,
7,17Networks_LH_VisPeri_ExStrInf_1,left,2,VisPeri,,
8,17Networks_LH_VisPeri_ExStrInf_2,left,2,VisPeri,,
9,17Networks_LH_VisPeri_ExStrInf_3,left,2,VisPeri,,
10,17Networks_LH_VisPeri_StriCal_1,left,2,VisPeri,,
11,17Networks_LH_VisPeri_ExStrSup_1,left,2,VisPeri,,
12,17Networks_LH_VisPeri_ExStrSup_2,left,2,VisPeri,,
13,17Networks_LH_SomMotA_1,left,3,SomMotA,,
14,17Networks_LH_SomMotA_2,left,3,SomMotA,,
15,17Networks_LH_SomMotA_3,left,3,SomMotA,,
16,17Networks_LH_SomMotA_4,left,3,SomMotA,,
17,17Networks_LH_SomMotA_5,left,3,SomMotA,,
18,17Networks_LH_SomMotA_6,left,3,SomMotA,,
19,17Networks_LH_SomMotA_7,left,3,SomMotA,,
20,17Networks_LH_SomMotA_8,left,3,SomMotA,,
21,17Networks_LH_SomMotB_Aud_1,left,4,SomMatB,,
22,17Networks_LH_SomMotB_Aud_2,left,4,SomMatB,,
23,17Networks_LH_SomMotB_S2_1,left,4,SomMatB,,
24,17Networks_LH_SomMotB_S2_2,left,4,SomMatB,,
25,17Networks_LH_SomMotB_Aud_3,left,4,SomMatB,,
26,17Networks_LH_SomMotB_S2_3,left,4,SomMatB,,
27,17Networks_LH_SomMotB_Cent_1,left,4,SomMatB,,
28,17Networks_LH_SomMotB_Cent_2,left,4,SomMatB,,
29,17Networks_LH_DorsAttnA_TempOcc_1,left,5,DorsAttnA,,
30,17Networks_LH_DorsAttnA_TempOcc_2,left,5,DorsAttnA,,
